Post Office Name,ÊPincode,Districts Name,City Name,State,
Alegaon,Ê444511,Akola,Akola,Maharashtra,
Alexander Graham Bell Mag,Ê400006,Mumbai,Mumbai,Maharashtra,
Ali Umar St,Ê400008,Mumbai,Mumbai,Maharashtra,
Alibag H O,Ê402201,Raigarh,Alibag,Maharashtra,
Alibhai Premji Marg,Ê400007,Mumbai,Mumbai,Maharashtra,
Aliyavar Jung Road,Ê400068,Mumbai,Mumbai,Maharashtra,
Alkuti,Ê414305,Ahmednagar,Ahmednagar,Maharashtra,
Allali Bohra Kalasathan,Ê400068,Mumbai,Mumbai,Maharashtra,
Allapalli,Ê442703,Gadchiroli,Gadchiroli,Maharashtra,
Allarkha Ibrahim Patel Marg,Ê400008,Mumbai,Mumbai,Maharashtra,
Allipur,Ê442304,Wardha,Wardha,Maharashtra,
Alore,Ê415603,Ratnagiri,Ratnagiri,Maharashtra,
Alsi Patia,Ê400002,Mumbai,Mumbai,Maharashtra,
Aluminium Quarters,Ê400018,Mumbai,Mumbai,Maharashtra,
Amalgaon,Ê425420,Jalgaon,Jalgaon,Maharashtra,
Amalner,Ê425401,Jalgaon,Amalner,Maharashtra,
Amalner,Ê413207,Sholapur,Amalner,Maharashtra,
Amand Road,Ê400064,Mumbai,Mumbai,Maharashtra,
Amar Gull Pathan Chowk,Ê400052,Mumbai,Mumbai,Maharashtra,
Amar Hills,Ê400072,Mumbai,Mumbai,Maharashtra,
Amar Mahal,Ê400089,Mumbai,Mumbai,Maharashtra,
Amar Nagar,Ê400025,Mumbai,Mumbai,Maharashtra,
Amar Wadi,Ê400004,Mumbai,Mumbai,Maharashtra,
Amarsi Road,Ê400064,Mumbai,Mumbai,Maharashtra,
Amba Sakhar,Ê431523,Beed,Beed,Maharashtra,
Ambad,Ê431204,Jalgaon,Ambad,Maharashtra,
Ambad Bazar,Ê431204,Jalgaon,Jalgaon,Maharashtra,
Ambad Ind Complex,Ê422010,Nashik,Nashik,Maharashtra,
Ambalal Doshi Marg H. St.,Ê400023,Mumbai,Mumbai,Maharashtra,
Ambat,Ê402101,Raigarh,Alibag,Maharashtra,
Ambawadi,Ê400004,Mumbai,Mumbai,Maharashtra,
Ambawadi,Ê400064,Mumbai,Mumbai,Maharashtra,
Ambawadi,Ê400078,Mumbai,Mumbai,Maharashtra,
Ambazari Deb Project,Ê440021,Nagpur,Nagpur,Maharashtra,
Ambedebadrak,Ê415637,Ratnagiri,Ratnagiri,Maharashtra,
Ambedkar Chowk,Ê400070,Mumbai,Mumbai,Maharashtra,
Ambedkar Housing Colony,Ê400052,Mumbai,Mumbai,Maharashtra,
Ambedkar Nagar,Ê400018,Mumbai,Mumbai,Maharashtra,
Ambedkar Nagar,Ê400079,Mumbai,Mumbai,Maharashtra,
Ambedkar Nagar,Ê400099,Mumbai,Mumbai,Maharashtra,
Ambedkar Road,Ê400012,Mumbai,Mumbai,Maharashtra,
Ambedkar Road,Ê400052,Mumbai,Mumbai,Maharashtra,
Ambedkar Road,Ê400080,Mumbai,Mumbai,Maharashtra,
Ambedkar Street,Ê400009,Mumbai,Mumbai,Maharashtra,
Ambegaon Manchar,Ê412407,Pune,Pune,Maharashtra,
Ambejogai,Ê431517,Beed,Ambejogai,Maharashtra,
Ambejogai Mandi Bazar,Ê431517,Beed,Beed,Maharashtra,
Ambernath,Ê421501,Thane,Thane,Maharashtra,
Ambernath South,Ê421501,Thane,Thane,Maharashtra,
Ambewadi,Ê416227,Kolhapur,Kolhapur,Maharashtra,
Ambewadi,Ê400006,Mumbai,Mumbai,Maharashtra,
Ambewadi,Ê400010,Mumbai,Mumbai,Maharashtra,
Ambewadi,Ê400099,Mumbai,Mumbai,Maharashtra,
Ambewadi Popat Shets Chaw,Ê400033,Mumbai,Mumbai,Maharashtra,
Ambika Nagar,Ê400022,Mumbai,Mumbai,Maharashtra,
Ambika Nagar,Ê400060,Mumbai,Mumbai,Maharashtra,
Ambikawadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Amboli,Ê416532,Sindhudurg,Oras,Maharashtra,
Amboli Hill Road,Ê400058,Mumbai,Mumbai,Maharashtra,
Ambrad,Ê416628,Sindhudurg,Oras,Maharashtra,
Ameeta,Ê400021,Mumbai,Mumbai,Maharashtra,
Amgaon,Ê441902,Bhandara,Bhandara,Maharashtra,
Amgaon Dighori,Ê441922,Bhandara,Bhandara,Maharashtra,
Amirbang,Ê400089,Mumbai,Mumbai,Maharashtra,
Amnoli Pada Hill,Ê400058,Mumbai,Mumbai,Maharashtra,
Amode,Ê425522,Dhule,Dhule,Maharashtra,
Amraoti Ambapeth,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti Bhajibazar,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti Camp,Ê444602,Amraoti,Amraoti,Maharashtra,
Amraoti Cotton Market,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti H O,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti New Cotton Mkt,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti Rajapeth,Ê444601,Amraoti,Amraoti,Maharashtra,
Amraoti Shivaji Nagar,Ê443305,Buldhana,Buldhana,Maharashtra,
Amraoti Takhatmal Estate,Ê443305,Buldhana,Buldhana,Maharashtra,
Amraoti Walgaon Road,Ê443305,Buldhana,Buldhana,Maharashtra,
Amrapur,Ê444301,Buldhana,Buldhana,Maharashtra,
Amroli Church,Ê400004,Mumbai,Mumbai,Maharashtra,
Amrut Co-Op. Housing Soc,Ê400052,Mumbai,Mumbai,Maharashtra,
Amrut Keslav Naik Marg,Ê400001,Mumbai,Mumbai,Maharashtra,
Amrut Nagar,Ê400051,Mumbai,Mumbai,Maharashtra,
Amrut Nagar,Ê400067,Mumbai,Mumbai,Maharashtra,
Amrut Nagar,Ê400086,Mumbai,Mumbai,Maharashtra,
Amrut Nagar,Ê400093,Mumbai,Mumbai,Maharashtra,
Amrutwadi,Ê400004,Mumbai,Mumbai,Maharashtra,
Ananaji Lane,Ê400077,Mumbai,Mumbai,Maharashtra,
Anand Nagar,Ê400022,Mumbai,Mumbai,Maharashtra,
Anand Nagar,Ê400037,Mumbai,Mumbai,Maharashtra,
Anand Nagar,Ê400060,Mumbai,Mumbai,Maharashtra,
Anand Nagar,Ê411051,Pune,Pune,Maharashtra,
Anand Vihar Housing Soc,Ê400002,Mumbai,Mumbai,Maharashtra,
Anandashram,Ê400007,Mumbai,Mumbai,Maharashtra,
Anandi Bazar,Ê414001,Ahmednagar,Ahmednagar,Maharashtra,
Anandibai Keskar M. Park,Ê400057,Mumbai,Mumbai,Maharashtra,
Anandilai Podar Mg 2To116,Ê400002,Mumbai,Mumbai,Maharashtra,
Anandilal Podar Road,Ê400064,Mumbai,Mumbai,Maharashtra,
Anandnagm,Ê400055,Mumbai,Mumbai,Maharashtra,
Anandwadi,Ê400002,Mumbai,Ashti,Maharashtra,
Anandwan,Ê442914,Chandrapur,Chandrapur,Maharashtra,
Anant Ganpat Pawar Lane,Ê400064,Mumbai,Mumbai,Maharashtra,
Anant Malvankar Path,Ê400012,Mumbai,Mumbai,Maharashtra,
Anant Patil Road,Ê400028,Mumbai,Mumbai,Maharashtra,
Anantwadi,Ê400002,Mumbai,Deoni,Maharashtra,
Anantwadi,Ê400012,Mumbai,Mumbai,Maharashtra,
Anantwadi,Ê400028,Mumbai,Deoni,Maharashtra,
Andarsal,Ê423402,Nashik,Nashik,Maharashtra,
Andhalgaon,Ê441914,Bhandara,Bhandara,Maharashtra,
Andhar Society,Ê400058,Mumbai,Mumbai,Maharashtra,
Andhargalli,Ê400010,Mumbai,Mumbai,Maharashtra,
Andhari,Ê431151,Jalgaon,Jalgaon,Maharashtra,
Andheri Azad Nagar,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri East Marol Bazar,Ê400069,Mumbai,Mumbai,Maharashtra,
Andheri H M P School,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri Market,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri Plot,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri Rly Station,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri Rs,Ê400058,Mumbai,Mumbai,Maharashtra,
Andheri Sahar Road,Ê400057,Mumbai,Mumbai,Maharashtra,
Andheri West,Ê400058,Mumbai,Mumbai,Maharashtra,
Andhonchiwadi,Ê400058,Mumbai,Mumbai,Maharashtra,
Andora,Ê413603,Osmanabad,Osmanabad,Maharashtra,
Andrews Road,Ê400054,Mumbai,Mumbai,Maharashtra,
Angapur,Ê415019,Satara,Satara,Maharashtra,
Angar,Ê413214,Sholapur,Sholapur,Maharashtra,
Angir Wadi,Ê400010,Mumbai,Mumbai,Maharashtra,
Angre Wada,Ê400002,Mumbai,Mumbai,Maharashtra,
Angrewadi,Ê400004,Mumbai,Mumbai,Maharashtra,
Anik Village,Ê400074,Mumbai,Mumbai,Maharashtra,
Anjangaon,Ê444705,Amraoti,Anjangaon,Maharashtra,
Anjangaon Bari,Ê444727,Amraoti,Amraoti,Maharashtra,
Anjani B K,Ê443305,Buldhana,Buldhana,Maharashtra,
Anjarla,Ê415714,Ratnagiri,Ratnagiri,Maharashtra,
Anji,Ê442103,Wardha,Wardha,Maharashtra,
Anjir Shopping Centre,Ê400054,Mumbai,Mumbai,Maharashtra,
Ankalkhop,Ê416316,Sangli,Sangli,Maharashtra,
Anna Ind. Estate,Ê400072,Mumbai,Mumbai,Maharashtra,
Annasaheh Shinde Marg,Ê400004,Mumbai,Mumbai,Maharashtra,
Ansari Moholla,Ê400058,Mumbai,Mumbai,Maharashtra,
Ansari Road,Ê400056,Mumbai,Mumbai,Maharashtra,
Ansing,Ê444507,Akola,Akola,Maharashtra,
Anthoney Road,Ê400050,Mumbai,Mumbai,Maharashtra,
Antop Hill,Ê400031,Mumbai,Mumbai,Maharashtra,
Antop Hill,Ê400037,Mumbai,Mumbai,Maharashtra,
Antop Hill B P T Colony,Ê400037,Mumbai,Mumbai,Maharashtra,
Antop Hill Road,Ê400037,Mumbai,Mumbai,Maharashtra,
Anupam Industrial Estate,Ê400080,Mumbai,Mumbai,Maharashtra,
Anur Plastics,Ê400068,Mumbai,Mumbai,Maharashtra,
Anushakti Nagar,Ê400094,Mumbai,Mumbai,Maharashtra,
Anxilium Convent Road,Ê400050,Mumbai,Mumbai,Maharashtra,
Apollo Reclamation,Ê400039,Mumbai,Mumbai,Maharashtra,
Appasaheb Marathe Marg,Ê400025,Mumbai,Mumbai,Maharashtra,
Approach Road,Ê400034,Mumbai,Mumbai,Maharashtra,
Apshinge,Ê415518,Satara,Satara,Maharashtra,
Apte Wadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Arab Bunglow 95 Nm Cr Rd,Ê400014,Mumbai,Mumbai,Maharashtra,
Arab Tabela,Ê400008,Mumbai,Mumbai,Maharashtra,
Aradhana Hotel,Ê400004,Mumbai,Mumbai,Maharashtra,
Aradhana Society,Ê400058,Mumbai,Mumbai,Maharashtra,
Arag,Ê416401,Sangli,Sangli,Maharashtra,
Aram Co-Op Housing Soc,Ê400055,Mumbai,Mumbai,Maharashtra,
Aram Nagar,Ê400061,Mumbai,Mumbai,Maharashtra,
Arar Wada,Ê400022,Mumbai,Mumbai,Maharashtra,
Aravti,Ê416537,Sindhudurg,Oras,Maharashtra,
Ardeshir Dady Cr. Lane,Ê400004,Mumbai,Mumbai,Maharashtra,
Ardeshir Dady Street,Ê400009,Mumbai,Mumbai,Maharashtra,
Ardhapur,Ê431704,Nanded,Nanded,Maharashtra,
Areadia,Ê400021,Mumbai,Mumbai,Maharashtra,
Argyle Cr. Street,Ê400009,Mumbai,Mumbai,Maharashtra,
Arjun Khot Wadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Arjuni Moregaon,Ê441701,Gondia,Bhandara,Maharashtra,
Armament,Ê411021,Pune,Pune,Maharashtra,
Armori,Ê441208,Gadchiroli,Gadchiroli,Maharashtra,
Arnala,Ê401302,Thane,Thane,Maharashtra,
Arni,Ê445103,Yeotamal,Yeotamal,Maharashtra,
Aronda,Ê416513,Sindhudurg,Oras,Maharashtra,
Arthur Bandar Raod,Ê400005,Mumbai,Mumbai,Maharashtra,
Arthur Road Prison,Ê400011,Mumbai,Mumbai,Maharashtra,
Arun Bazar,Ê400054,Mumbai,Mumbai,Maharashtra,
Arunodaya Colony,Ê400012,Mumbai,Mumbai,Maharashtra,
Arvi,Ê412401,Pune,Arvi,Maharashtra,
Arvi,Ê442201,Wardha,Wardha,Maharashtra,
Arvindnagar,Ê400029,Mumbai,Mumbai,Maharashtra,
Arya Chanakya Nagar,Ê400101,Mumbai,Mumbai,Maharashtra,
Arya Nagar,Ê400034,Mumbai,Mumbai,Maharashtra,
Asalpha Village,Ê400084,Mumbai,Mumbai,Maharashtra,
Asegaon,Ê444409,Akola,Akola,Maharashtra,
Asegaon,Ê444827,Amraoti,Amraoti,Maharashtra,
Asgaon,Ê441919,Bhandara,Bhandara,Maharashtra,
Ash Lane,Ê400023,Mumbai,Mumbai,Maharashtra,
Asha Colony,Ê400049,Mumbai,Mumbai,Maharashtra,
Asha Usha Mills Compound,Ê400079,Mumbai,Mumbai,Maharashtra,
Asha Wadi,Ê400058,Mumbai,Mumbai,Maharashtra,
Ashirwad Ind. Estate,Ê400062,Mumbai,Mumbai,Maharashtra,
Ashirwadi,Ê400069,Mumbai,Mumbai,Maharashtra,
Ashok Nagar,Ê444003,Akola,Akola,Maharashtra,
Ashok Nagar,Ê400049,Mumbai,Dhamangaon Railway,Maharashtra,
Ashok Nagar,Ê400055,Mumbai,Mumbai,Maharashtra,
Ashok Nagar,Ê400062,Mumbai,Mumbai,Maharashtra,
Ashok Nagar,Ê400070,Mumbai,Dhamangaon Railway,Maharashtra,
Ashok Nagar,Ê400072,Mumbai,Dhamangaon Railway,Maharashtra,
Ashok Nagar,Ê400078,Mumbai,Mumbai,Maharashtra,
Ashok Nagar,Ê400101,Mumbai,Dhamangaon Railway,Maharashtra,
Ashok Nagar Society,Ê400074,Mumbai,Mumbai,Maharashtra,
Ashok Wadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Ashte,Ê416301,Sangli,Sangli,Maharashtra,
Ashti,Ê414203,Beed,Beed,Maharashtra,
Ashti,Ê431507,Latur,Latur,Maharashtra,
Ashti,Ê413303,Sholapur,Sholapur,Maharashtra,
Ashti,Ê442202,Wardha,Wardha,Maharashtra,
Ashvi,Ê413714,Ahmednagar,Ahmednagar,Maharashtra,
Asoda,Ê425101,Jalgaon,Jalgaon,Maharashtra,
Aspali Colony,Ê400025,Mumbai,Mumbai,Maharashtra,
Assembly Lane,Ê400002,Mumbai,Mumbai,Maharashtra,
Atlanta,Ê400021,Mumbai,Mumbai,Maharashtra,
Atlas Mill Compound,Ê400010,Mumbai,Mumbai,Maharashtra,
Atlas Mills,Ê400037,Mumbai,Mumbai,Maharashtra,
Atmaram Kawilwadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Atmaram Mhatre Road,Ê400068,Mumbai,Mumbai,Maharashtra,
Atpadi,Ê415301,Sangli,Sangli,Maharashtra,
Attar Gulli,Ê400003,Mumbai,Mumbai,Maharashtra,
August Kranti Maidan,Ê400036,Mumbai,Mumbai,Maharashtra,
August Kranti Marg Rest,Ê400036,Mumbai,Mumbai,Maharashtra,
August Kranti Mrg 8 To 19,Ê400007,Mumbai,Mumbai,Maharashtra,
Augustin Wadi,Ê400055,Mumbai,Mumbai,Maharashtra,
Aundh,Ê415510,Satara,Satara,Maharashtra,
Aundh Camp,Ê411027,Pune,Pune,Maharashtra,
Aundha Nagnath,Ê431705,Parbhani,Parbhani,Maharashtra,
Aurad Shahajani,Ê413522,Osmanabad,Osmanabad,Maharashtra,
Aurangabad,Ê415570,Aurangabad,Aurangabad,Maharashtra,
Aurangabad,Ê415510,Satara,Satara,Maharashtra,
Aurangabad Cantt,Ê431002,Aurangabad,Aurangabad,Maharashtra,
Aurangabad City,Ê415510,Satara,Satara,Maharashtra,
Aurangabad H O,Ê431001,Aurangabad,Aurangabad,Maharashtra,
Aurangabad R S,Ê415510,Satara,Satara,Maharashtra,
Aurangabad Sarafa,Ê415570,Aurangabad,Aurangabad,Maharashtra,
Avas,Ê402205,Raigarh,Alibag,Maharashtra,
Avenue Road,Ê400033,Mumbai,Mumbai,Maharashtra,
Avinash Housing Society,Ê400058,Mumbai,Mumbai,Maharashtra,
Avsari Budruk,Ê412405,Pune,Pune,Maharashtra,
Awabai Kashinath Road,Ê400034,Mumbai,Mumbai,Maharashtra,
Awabai Petit Street,Ê400007,Mumbai,Mumbai,Maharashtra,
Awachitpada,Ê400008,Mumbai,Mumbai,Maharashtra,
Awantikabai Gokhale St.,Ê400004,Mumbai,Mumbai,Maharashtra,
Awsa,Ê413520,Latur,Latur,Maharashtra,
Ayakar Bhavan,Ê400020,Mumbai,Mumbai,Maharashtra,
Ayodhya Nagar,Ê440024,Nagpur,Nagpur,Maharashtra,
Azad Housing Society,Ê400050,Mumbai,Mumbai,Maharashtra,
Azad Lane,Ê400058,Mumbai,Mumbai,Maharashtra,
Azad Maidan,Ê400001,Mumbai,Mumbai,Maharashtra,
Azad Nagar,Ê400005,Mumbai,Mumbai,Maharashtra,
Azad Nagar,Ê400015,Mumbai,Mumbai,Maharashtra,
Azad Nagar,Ê400031,Mumbai,Mumbai,Maharashtra,
Azad Nagar,Ê400058,Mumbai,Mumbai,Maharashtra,
Azad Nagar,Ê400078,Mumbai,Mumbai,Maharashtra,
Azad Nagar Ghatkopar West,Ê400086,Mumbai,Mumbai,Maharashtra,
Azad Road Andheri East,Ê400069,Mumbai,Mumbai,Maharashtra,
Azad Road Andheri Wast,Ê400058,Mumbai,Mumbai,Maharashtra,
Azad Road Chakala M.I.D.C,Ê400093,Mumbai,Mumbai,Maharashtra,
Azad Stores,Ê400068,Mumbai,Mumbai,Maharashtra,
Aziz Baug,Ê400074,Mumbai,Mumbai,Maharashtra,
B A R C Bombay,Ê400085,Mumbai,Mumbai,Maharashtra,
B S K Madhukarnagar Patas,Ê441206,Chandrapur,Chandrapur,Maharashtra,
B.A.R.C. Quarters,Ê400071,Mumbai,Mumbai,Maharashtra,
B.D.D. Chawls No 1 To 23,Ê400014,Mumbai,Mumbai,Maharashtra,
B.D.D. Chawls No. 5 To 16,Ê400015,Mumbai,Mumbai,Maharashtra,
B.D.D.Chawl C.Rd.1 To 121,Ê400018,Mumbai,Mumbai,Maharashtra,
B.D.D.Chawl Road,Ê400018,Mumbai,Mumbai,Maharashtra,
B.E.S.T. Nagar,Ê400082,Mumbai,Mumbai,Maharashtra,
B.E.S.T. Quarters,Ê400055,Mumbai,Mumbai,Maharashtra,
B.G. Kher Marg Ridge Road,Ê400006,Mumbai,Mumbai,Maharashtra,
B.G. Kher Road,Ê400018,Mumbai,Mumbai,Maharashtra,
B.G. Mahajani Path,Ê400031,Mumbai,Mumbai,Maharashtra,
B.I.T. Blocks 1 To 16,Ê400010,Mumbai,Mumbai,Maharashtra,
"B.I.T. Chawls 1,2,3",Ê400010,Mumbai,Mumbai,Maharashtra,
B.J. Devrukhkar Road,Ê400014,Mumbai,Mumbai,Maharashtra,
B.K. Dhuru Wadi,Ê400025,Mumbai,Mumbai,Maharashtra,
B.M.C. Compound,Ê400058,Mumbai,Mumbai,Maharashtra,
B.N. Maheshwari Udyan,Ê400019,Mumbai,Mumbai,Maharashtra,
B.P.T Colony,Ê400025,Mumbai,Mumbai,Maharashtra,
B.P.T. Chawls Reay Road,Ê400010,Mumbai,Mumbai,Maharashtra,
B.P.T. Chawls W.Br. 1 To6,Ê400010,Mumbai,Mumbai,Maharashtra,
B.P.T. Rly. Quarters,Ê400015,Mumbai,Mumbai,Maharashtra,
B.R. Nagar,Ê400060,Mumbai,Mumbai,Maharashtra,
B.S.R. Colony,Ê400074,Mumbai,Mumbai,Maharashtra,
Baba Saheb Dahanukar Marg,Ê400026,Mumbai,Mumbai,Maharashtra,
Baba Saheb Worlikar Chowk,Ê400018,Mumbai,Mumbai,Maharashtra,
Baba Shet Wadi,Ê400078,Mumbai,Mumbai,Maharashtra,
Babachi Wadi,Ê400015,Mumbai,Mumbai,Maharashtra,
Babasaheb Abdr. Rd. Cr.Ln,Ê400012,Mumbai,Mumbai,Maharashtra,
Babhai,Ê400092,Mumbai,Mumbai,Maharashtra,
Babhaleshwer,Ê413737,Ahmednagar,Ahmednagar,Maharashtra,
Babhuigaon,Ê445101,Yeotamal,Yeotamal,Maharashtra,
Babu Genu Road Hanu. Kane,Ê400002,Mumbai,Mumbai,Maharashtra,
Babula Tank Cross Lane,Ê400009,Mumbai,Mumbai,Maharashtra,
Babulnath Cr. Lane,Ê400007,Mumbai,Mumbai,Maharashtra,
Babulnath Road,Ê400007,Mumbai,Mumbai,Maharashtra,
Baburao Bobade Road,Ê400009,Mumbai,Mumbai,Maharashtra,
Baburao Jagtap Marg,Ê400027,Mumbai,Mumbai,Maharashtra,
Baburao Parulekar Marg,Ê400028,Mumbai,Mumbai,Maharashtra,
Bachani Nagar,Ê400004,Mumbai,Mumbai,Maharashtra,
Bachoo Ali Road,Ê400009,Mumbai,Mumbai,Maharashtra,
Bada Mandir,Ê400002,Mumbai,Mumbai,Maharashtra,
Badam Wadi,Ê400004,Mumbai,Mumbai,Maharashtra,
Badam Wadi,Ê400050,Mumbai,Mumbai,Maharashtra,
Badamwadi,Ê400002,Mumbai,Mumbai,Maharashtra,
Badar Baug,Ê400007,Mumbai,Mumbai,Maharashtra,
Badba Da,Ê431733,Nanded,Nanded,Maharashtra,
Badhubali,Ê416110,Kolhapur,Kolhapur,Maharashtra,
Badlapur,Ê421504,Thane,Badlapur,Maharashtra,
Badlu Rangari Street,Ê400008,Mumbai,Mumbai,Maharashtra,
Badnapur,Ê431202,Jalgaon,Jalgaon,Maharashtra,
Badnera,Ê444701,Amraoti,Amraoti,Maharashtra,
Badod Bazar,Ê431134,Jalgaon,Jalgaon,Maharashtra,
Badra East,Ê400051,Mumbai,Mumbai,Maharashtra,
Bagadgani,Ê440008,Nagpur,Nagpur,Maharashtra,
Bagdka Marg Bamanpuri Rd,Ê400059,Mumbai,Mumbai,Maharashtra,
Baghad Road,Ê400005,Mumbai,Mumbai,Maharashtra,
Bagladganj,Ê440008,Nagpur,Nagpur,Maharashtra,
Bagmandla,Ê402114,Raigarh,Alibag,Maharashtra,
Bagni,Ê416302,Sangli,Sangli,Maharashtra,
Bagpti Road,Ê400062,Mumbai,Mumbai,Maharashtra,
Bahadarpur,Ê425113,Jalgaon,Jalgaon,Maharashtra,
Bahubali,Ê416110,Kolhapur,Kolhapur,Maharashtra,
Bahule,Ê415209,Satara,Satara,Maharashtra,
Bai Awabai Petit Street,Ê400007,Mumbai,Mumbai,Maharashtra,
Bai Dinabai Petiti Street,Ê400007,Mumbai,Mumbai,Maharashtra,
Bai Padmabai Thakkar Road,Ê400016,Mumbai,Mumbai,Maharashtra,
Bai Padmabai Thakkar Road,Ê400028,Mumbai,Mumbai,Maharashtra,
Bai Padmabai Wadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Bail Bazar,Ê400070,Mumbai,Mumbai,Maharashtra,
Bajaj Bhavan,Ê400021,Mumbai,Mumbai,Maharashtra,
Bajaj Cross Road,Ê400056,Mumbai,Mumbai,Maharashtra,
Bajaj Road,Ê400021,Mumbai,Mumbai,Maharashtra,
Bajaj Road,Ê400056,Mumbai,Mumbai,Maharashtra,
Bajaj Road,Ê400067,Mumbai,Mumbai,Maharashtra,
Bajaj Road Co-Op. Hg. Society,Ê400056,Mumbai,Mumbai,Maharashtra,
Bajaj Wadi,Ê400054,Mumbai,Mumbai,Maharashtra,
Baji Paslkar Marg S.V.Rd.,Ê400072,Mumbai,Mumbai,Maharashtra,
Baker Lane,Ê400010,Mumbai,Mumbai,Maharashtra,
Bakery Lane,Ê400005,Mumbai,Mumbai,Maharashtra,
Bakul Co-Op. Housing Society,Ê400058,Mumbai,Mumbai,Maharashtra,
Bal Gangadhar Kher Marg,Ê400006,Mumbai,Mumbai,Maharashtra,
Bal Govind Road,Ê400028,Mumbai,Mumbai,Maharashtra,
Bal Govinddas Road,Ê400016,Mumbai,Mumbai,Maharashtra,
Bal Govinddas Wadi,Ê400016,Mumbai,Mumbai,Maharashtra,
Bal Mandir Marg,Ê400049,Mumbai,Mumbai,Maharashtra,
Balaji Mandir Marg,Ê400070,Mumbai,Mumbai,Maharashtra,
Balam Takli,Ê414504,Ahmednagar,Ahmednagar,Maharashtra,
Balamiya Lane,Ê400011,Mumbai,Mumbai,Maharashtra,
Balapur,Ê444302,Akola,Balapur,Maharashtra,
Balaram Street,Ê400007,Mumbai,Mumbai,Maharashtra,
Balaram Wadi,Ê400007,Mumbai,Mumbai,Maharashtra,
Bale Wadi,Ê400028,Mumbai,Mumbai,Maharashtra,
Balika Vidyalaya Marg,Ê400067,Mumbai,Mumbai,Maharashtra,
Baliwala Hill,Ê400058,Mumbai,Mumbai,Maharashtra,
Baliwala Road,Ê400012,Mumbai,Mumbai,Maharashtra,
Balkrishna Tawde Marg,Ê400062,Mumbai,Mumbai,Maharashtra,
Balkum,Ê400603,Thane,Thane,Maharashtra,
Ballard Estate,Ê400038,Mumbai,Mumbai,Maharashtra,
Ballard Pier,Ê400038,Mumbai,Mumbai,Maharashtra,
Ballarpur,Ê442701,Chandrapur,Ballarpur,Maharashtra,
Ballarpur Paper Mills,Ê442901,Chandrapur,Chandrapur,Maharashtra,
Ballur,Ê431526,Parbhani,Parbhani,Maharashtra,
Balpur,Ê444302,Akola,Akola,Maharashtra,
Balshet Madurkar Mg,Ê400013,Mumbai,Mumbai,Maharashtra,
Balu Changu Patil Marg,Ê400009,Mumbai,Mumbai,Maharashtra,
Balwant Sing Dodi Marg,Ê400010,Mumbai,Mumbai,Maharashtra,
Baman Wada,Ê400099,Mumbai,Mumbai,Maharashtra,
Baman Wada Hill,Ê400099,Mumbai,Mumbai,Maharashtra,
Bamanji Master Rd Sild Br,Ê400002,Mumbai,Mumbai,Maharashtra,
Bamanpuri Village,Ê400059,Mumbai,Mumbai,Maharashtra,
Bambavade,Ê416213,Kolhapur,Kolhapur,Maharashtra,
Banaji Cross Lane,Ê400001,Mumbai,Mumbai,Maharashtra,
Banaji Street,Ê400001,Mumbai,Mumbai,Maharashtra,
Band Of Baroda Staff Qts,Ê400099,Mumbai,Mumbai,Maharashtra,
Band Quarters,Ê400006,Mumbai,Mumbai,Maharashtra,
Band Stand,Ê400021,Mumbai,Mumbai,Maharashtra,
Band Stand,Ê400050,Mumbai,Mumbai,Maharashtra,
Band Stand,Ê400050,Mumbai,Mumbai,Maharashtra,
Bandar Pakhadi Road,Ê400067,Mumbai,Mumbai,Maharashtra,
Bandar Wadi,Ê400050,Mumbai,Mumbai,Maharashtra,
Bandnera,Ê444701,Amraoti,Amraoti,Maharashtra,
Bandongri,Ê400064,Mumbai,Mumbai,Maharashtra,
Bandongri Road,Ê400067,Mumbai,Mumbai,Maharashtra,
Bandra Bazar,Ê400050,Mumbai,Mumbai,Maharashtra,
Bandra Hill,Ê400050,Mumbai,Mumbai,Maharashtra,
Bandra Plot,Ê400060,Mumbai,Mumbai,Maharashtra,
Bandra Roads,Ê400050,Mumbai,Mumbai,Maharashtra,
Bandra Stn Road,Ê400051,Mumbai,Mumbai,Maharashtra,
Bandrekar Wadi,Ê400060,Mumbai,Mumbai,Maharashtra,
Bandu Alias Keshav Gore,Ê400062,Mumbai,Mumbai,Maharashtra,
Bandu Baug,Ê400025,Mumbai,Mumbai,Maharashtra,
Bandu Gokhale Marg Cow Le,Ê400004,Mumbai,Mumbai,Maharashtra,
Bangad Wadi,Ê400004,Mumbai,Mumbai,Maharashtra,
